"Source:","/Volumes/Projects/carlossless/qwiic-hat/qwiic-hat.kicad_sch"
"Date:","2022 July 16, Saturday 18:02:13"
"Tool:","Eeschema (6.0.6-1)-1"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","3"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Drawing","Link"
"","","J1","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","carlossless:RPI_THROUGH_PIN_SOCKET","~","https://cdn-shop.adafruit.com/product-files/2187/CS25582-40G-M36-0A+(1).jpg","https://www.adafruit.com/product/2187"
"","","J2","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","~","https://cdn-shop.adafruit.com/product-files/4208/4208_Kaweei_C13396_diagram.pdf","https://www.adafruit.com/product/4208"
"","","J3","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","~","https://cdn-shop.adafruit.com/product-files/4208/4208_Kaweei_C13396_diagram.pdf","https://www.adafruit.com/product/4208"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Drawing","Link"
"1","1","J1","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","carlossless:RPI_THROUGH_PIN_SOCKET","~","https://cdn-shop.adafruit.com/product-files/2187/CS25582-40G-M36-0A+(1).jpg","https://www.adafruit.com/product/2187"
"2","2","J2, J3","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","~","https://cdn-shop.adafruit.com/product-files/4208/4208_Kaweei_C13396_diagram.pdf","https://www.adafruit.com/product/4208"
